Format Version,1.23,Take Name,1_linje1_004,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-04-05 03.46.04.843 P.M.,Capture Start Frame,11643308,Total Frames in Take,7,Total Exported Frames,7,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Qutee2,Qutee2,Qutee2,Qutee2,Qutee2,Qutee2
,ID,"565DF63CF35111EE8C9DA3D1AAC458C","565DF63CF35111EE8C9DA3D1AAC458C","565DF63CF35111EE8C9DA3D1AAC458C","565DF63CF35111EE8C9DA3D1AAC458C","565DF63CF35111EE8C9DA3D1AAC458C","565DF63CF35111EE8C9DA3D1AAC458C"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,1.669530,1.042698,0.925402,26.269003,12.122437,-34.401478
1,0.010000,1.648104,1.049892,0.841120,26.273268,12.113924,-34.404259
2,0.020000,1.131791,0.406656,0.634588,26.195440,12.155971,-34.382820
3,0.030000,1.114736,0.406726,0.774067,26.184320,12.165210,-34.385418
4,0.040000,0.926591,0.457584,1.017593,26.219793,12.175384,-34.363693
5,0.050000,1.129148,0.399161,0.611270,26.195202,12.155257,-34.383305
6,0.060000,1.648613,1.013877,0.799702,26.262798,12.123109,-34.400978
